Week,Alpha
0,25.0
1,25.0
2,25.0
3,0.5
4,25.0
5,25.0
6,1.0
7,0.5
8,1.0
9,0.25
10,0.25
11,0.25
12,0.5
13,0.5
14,0.25
15,0.25
16,0.25
17,0.5
18,1.0
19,0.25
20,1.0
21,0.25
22,0.5
23,0.25
24,3.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,1.5
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.25
45,0.25
46,0.25
47,0.25
48,2.0
49,1.0
50,1.0
51,25.0
