year,month,customer class,value
2020,10,OCOMM,71
2020,10,ORES,9
2020,10,POTABLE IRR,18085
2020,10,TOTAL IRES TIERS,39497
2020,10,TOTAL IRR (POTABLE + NP IRR),22445
2020,11,ICOMM,20573
2020,11,IMULT,16296
2020,11,NP IRR,4
2020,11,OCOMM,62
2020,11,ORES,10
2020,11,POTABLE IRR,3510
2020,11,TOTAL IRES TIERS,20933
2020,11,TOTAL IRR (POTABLE + NP IRR),3514
2020,12,ICOMM,15856
2020,12,IMULT,14444
2020,12,NP IRR,0
2020,12,OCOMM,56
2020,12,ORES,8
2020,12,POTABLE IRR,283
2020,12,TOTAL IRES TIERS,14833
2020,12,TOTAL IRR (POTABLE + NP IRR),283
2021,1,ICOMM,17395
2021,1,IMULT,13246
2021,1,NP IRR,0
2021,1,OCOMM,68
2021,1,ORES,9
2021,1,POTABLE IRR,208
2021,1,TOTAL IRES TIERS,15101
2021,1,TOTAL IRR (POTABLE + NP IRR),208
2021,2,ICOMM,18254
2021,2,IMULT,14449
2021,2,NP IRR,0
2021,2,OCOMM,80
2021,2,ORES,10
2021,2,POTABLE IRR,222
2021,2,TOTAL IRES TIERS,15378
2021,2,TOTAL IRR (POTABLE + NP IRR),222
2021,3,ICOMM,17420
2021,3,IMULT,13083
2021,3,NP IRR,0
2021,3,OCOMM,62
2021,3,ORES,8
2021,3,POTABLE IRR,207
2021,3,TOTAL IRES TIERS,12914
2021,3,TOTAL IRR (POTABLE + NP IRR),207
2021,4,ICOMM,20084
2021,4,IMULT,13746
2021,4,NP IRR,4
2021,4,OCOMM,84
2021,4,ORES,8
2021,4,POTABLE IRR,468
2021,4,TOTAL IRES TIERS,14537
2021,4,TOTAL IRR (POTABLE + NP IRR),472
2021,5,ICOMM,21444
2021,5,IMULT,13985
2021,5,NP IRR,514
2021,5,OCOMM,84
2021,5,ORES,8
2021,5,POTABLE IRR,1040
2021,5,TOTAL IRES TIERS,15812
2021,5,TOTAL IRR (POTABLE + NP IRR),1554
2021,6,ICOMM,28869
2021,6,IMULT,14678
2021,6,NP IRR,8816
2021,6,OCOMM,82
2021,6,ORES,9
2021,6,POTABLE IRR,13621
2021,6,TOTAL IRES TIERS,30446
2021,6,TOTAL IRR (POTABLE + NP IRR),22437
2021,7,ICOMM,37584
2021,7,IMULT,17172
2021,7,NP IRR,9189
2021,7,OCOMM,92
2021,7,ORES,14
2021,7,POTABLE IRR,28237
2021,7,TOTAL IRES TIERS,45824
2021,7,TOTAL IRR (POTABLE + NP IRR),37426
2021,8,ICOMM,41297
2021,8,IMULT,18735
2021,8,NP IRR,15175
2021,8,OCOMM,82
2021,8,ORES,16
2021,8,POTABLE IRR,32148
2021,8,TOTAL IRES TIERS,51776
2021,8,TOTAL IRR (POTABLE + NP IRR),47323
2021,9,ICOMM,40896
2021,9,IMULT,19163
2021,9,NP IRR,12835
2021,9,OCOMM,76
2021,9,ORES,20
2021,9,POTABLE IRR,27412
2021,9,TOTAL IRES TIERS,49836
2021,9,TOTAL IRR (POTABLE + NP IRR),40247
2021,10,ICOMM,32392
2021,10,IMULT,17338
2021,10,NP IRR,2945
2021,10,OCOMM,75
2021,10,ORES,32
2021,10,POTABLE IRR,18576
2021,10,TOTAL IRES TIERS,37624
2021,10,TOTAL IRR (POTABLE + NP IRR),21521
2021,11,ICOMM,19180
2021,11,IMULT,14613
2021,11,NP IRR,1979
2021,11,OCOMM,79
2021,11,ORES,25
2021,11,POTABLE IRR,1638
2021,11,TOTAL IRES TIERS,18164
2021,11,TOTAL IRR (POTABLE + NP IRR),3617
2021,12,ICOMM,16980
2021,12,IMULT,13557
2021,12,NP IRR,249
2021,12,OCOMM,44
2021,12,ORES,22
2021,12,POTABLE IRR,326
2021,12,TOTAL IRES TIERS,14715
2021,12,TOTAL IRR (POTABLE + NP IRR),575
2022,1,ICOMM,16190
2022,1,IMULT,13182
2022,1,NP IRR,0
2022,1,OCOMM,49
2022,1,ORES,14
2022,1,POTABLE IRR,192
2022,1,TOTAL IRES TIERS,14440
2022,1,TOTAL IRR (POTABLE + NP IRR),192
2022,2,ICOMM,16783
2022,2,IMULT,14438
2022,2,NP IRR,0
2022,2,OCOMM,62
2022,2,ORES,8
2022,2,POTABLE IRR,200
2022,2,TOTAL IRES TIERS,13604
2022,2,TOTAL IRR (POTABLE + NP IRR),200
2022,3,ICOMM,17194
2022,3,IMULT,13771
2022,3,NP IRR,3
2022,3,OCOMM,66
2022,3,ORES,9
2022,3,POTABLE IRR,206
2022,3,TOTAL IRES TIERS,12535
2022,3,TOTAL IRR (POTABLE + NP IRR),209
2022,4,ICOMM,18382
2022,4,IMULT,13715
2022,4,NP IRR,496
2022,4,OCOMM,73
2022,4,ORES,16
2022,4,POTABLE IRR,430
2022,4,TOTAL IRES TIERS,13629
