year,week,39.7333_-105.1833,39.7333_-105.225,39.7333_-105.2667,39.775_-105.1833,39.775_-105.225,39.775_-105.2667
1999,52,1.35,1.25000002,1.15,1.40000005,1.35,1.15
2000,1,1.3857143,1.3000000142857142,1.2142857342857145,1.3571428714285714,1.328571457142857,1.1857143200000002
2000,2,2.200000014285714,2.1000000285714284,1.9571428714285715,2.1857143,2.1714286,2.000000028571429
2000,3,2.0000000142857144,1.9000000428571426,1.7142857571428571,2.0571428714285713,2.0142857285714286,1.828571442857143
2000,4,1.0857142914285716,1.0285714428571429,0.9714285771428572,1.071428577142857,1.0571428628571429,0.9714285914285714
2000,5,1.9857143285714287,1.914285742857143,1.8000000142857142,2.0000000142857144,1.9285714714285713,1.8142857142857143
2000,6,2.0142857285714286,1.9285714571428572,1.7571428857142857,2.042857157142857,1.9428571857142856,1.8000000285714286
2000,7,2.028571448571429,1.9285714342857143,1.785714305714286,2.0571428771428573,1.9571428714285715,1.7714286000000001
2000,8,2.642857157142857,2.5571428714285713,2.328571457142857,2.7714285857142857,2.6571428571428575,2.428571457142857
2000,9,2.7428571571428573,2.6285714285714286,2.428571442857143,2.7857143,2.6999999999999997,2.4571429
2000,10,2.428571442857143,2.3285714285714287,2.200000014285714,2.5,2.400000014285714,2.2285714428571426
2000,11,2.2714285857142857,2.1857143142857143,2.028571442857143,2.2571428857142855,2.2142857714285715,2.0285714285714285
2000,12,2.514285742857143,2.414285714285714,2.3000000000000003,2.5714286,2.4857143,2.28571432
2000,13,2.6714285999999996,2.5714285714285716,2.4714285857142855,2.642857171428571,2.5571428857142857,2.400000014285714
2000,14,4.300000085714286,4.214285757142857,4.085714328571429,4.285714328571428,4.1428572,3.914285714285714
2000,15,4.228571428571429,4.157142957142857,3.9857143285714285,4.3428571428571425,4.185714342857143,3.9857143285714285
2000,16,4.585714371428572,4.4714285857142855,4.228571442857143,4.771428628571428,4.6285715142857144,4.3571428857142855
2000,17,4.528571485714286,4.457142857142857,4.3142857999999995,4.671428614285714,4.514285857142857,4.314285714285714
2000,18,5.7142858,5.6285715142857144,5.4571429,5.842857228571428,5.742857185714286,5.428571514285714
2000,19,4.542857228571429,4.457142942857143,4.314285757142857,4.585714457142857,4.485714371428571,4.242857142857143
2000,20,4.8,4.728571471428571,4.614285714285714,4.828571471428572,4.714285757142856,4.485714385714286
2000,21,5.9428572285714285,5.828571514285714,5.6142857571428575,6.071428614285714,5.9428572285714285,5.642857185714286
2000,22,6.6142857571428575,6.457142942857142,6.314285757142857,6.5714286571428575,6.428571471428571,6.185714328571429
2000,23,7.1714288,6.957142942857142,6.642857185714285,7.314285714285715,7.114285942857143,6.700000042857143
2000,24,5.985714285714286,5.871428614285714,5.614285842857143,6.085714328571428,5.914285714285714,5.5571429000000006
2000,25,6.242857142857143,6.085714414285714,5.814285714285715,6.371428614285714,6.214285757142856,5.857142857142857
2000,26,5.614285728571429,5.471428571428571,5.328571471428572,5.628571428571428,5.471428614285714,5.200000128571429
2000,27,6.871428571428572,6.700000085714286,6.4142858,7.000000042857143,6.8000000428571425,6.442857142857143
2000,28,6.1285715142857144,5.971428614285714,5.728571471428571,6.271428657142857,6.1142857571428575,5.800000085714286
2000,29,5.6857143428571435,5.542857328571428,5.4428572,5.671428571428572,5.528571557142857,5.3428571428571425
2000,30,6.557142857142857,6.357142857142857,6.1142857571428575,6.657142899999999,6.4571429,6.128571428571428
2000,31,6.185714328571429,5.985714414285715,5.742857142857143,6.228571471428571,6.071428614285714,5.714285757142858
2000,32,6.171428571428572,6.0,5.728571514285714,6.242857228571429,6.1142858,5.728571471428571
2000,33,5.2142858,5.014285714285714,4.842857185714286,5.2142858,5.0714286714285715,4.742857185714286
2000,34,5.0714287,4.900000085714287,4.7142858,5.142857142857143,5.000000128571429,4.671428571428572
2000,35,4.657142942857143,4.514285800000001,4.3,4.7142858,4.542857185714285,4.228571514285714
2000,36,5.642857228571429,5.457142942857144,5.185714371428572,5.771428657142857,5.6000000000000005,5.242857228571429
2000,37,5.185714371428571,5.028571428571429,4.771428742857142,5.271428657142857,5.100000042857142,4.7571429428571435
2000,38,2.8857143485714287,2.8142857342857144,2.757142871428571,2.757142862857143,2.6571429200000005,2.514285762857143
2000,39,3.714285757142857,3.5571428714285713,3.4000000285714287,3.7428571857142856,3.5857143,3.3714286
2000,40,2.5428571714285715,2.4857142857142853,2.4714286,2.4857143,2.3857143142857145,2.3142857571428572
2000,41,2.6999999999999997,2.6000000285714284,2.4714286,2.7142857142857144,2.6000000142857145,2.485714342857143
2000,42,2.6714285857142857,2.6142857142857143,2.514285742857143,2.6714285857142857,2.585714285714286,2.442857157142857
2000,43,1.9285714714285713,1.8857143571428572,1.8285714714285715,1.928571485714286,1.8714286142857142,1.7714285857142857
2000,44,1.7714286142857143,1.7285714857142858,1.6142857571428573,1.800000057142857,1.7571429142857142,1.6285714714285715
2000,45,0.9000000114285714,0.8857142914285714,0.8285714285714285,0.8714285771428572,0.8428571485714286,0.7857142857142857
2000,46,1.1571428857142858,1.1285714485714284,1.0714285914285715,1.1428571771428573,1.1142857342857142,1.0571428771428573
2000,47,1.5428571714285713,1.528571457142857,1.4142857142857144,1.5571429,1.528571457142857,1.3571428571428572
2000,48,1.4857143142857143,1.414285742857143,1.328571442857143,1.5000000142857144,1.4714285999999999,1.3000000257142859
2000,49,1.542857157142857,1.5285714428571429,1.4285714428571428,1.5285714628571427,1.5142857342857143,1.342857182857143
2000,50,1.2285714285714284,1.1999999999999997,1.1142857285714285,1.2428571571428573,1.1999999999999997,1.1285714285714286
2000,51,1.4000000000000001,1.3714285714285714,1.2714285914285715,1.457142857142857,1.457142857142857,1.3142857200000002
2000,52,1.0571428857142857,1.042857157142857,1.0,1.0571428857142857,1.0000000142857144,0.9142857257142857
2001,1,1.8714285857142856,1.8142857142857143,1.7571428714285715,1.9000000142857143,1.8428571428571427,1.7428571571428573
2001,2,2.014285742857143,1.9571428999999998,1.7714286142857143,2.0714285857142856,2.042857157142857,1.8714286142857142
2001,3,1.01428574,1.01428574,0.9571428771428572,0.9857143057142856,0.9857143057142856,0.8857142914285714
2001,4,1.21428574,1.21428574,1.142857162857143,1.1428571714285716,1.1428571714285716,1.0857142914285716
2001,5,1.2428571857142858,1.2428571857142858,1.2285714571428572,1.2428571857142858,1.2571429,1.214285742857143
2001,6,1.2857143142857144,1.2857143142857144,1.2714285857142857,1.2428571571428573,1.228571442857143,1.2285714428571428
2001,7,1.500000042857143,1.500000042857143,1.4714285714285715,1.4714285714285715,1.442857157142857,1.4857143142857143
2001,8,1.8571428857142858,1.8428571714285715,1.7428571571428573,1.9142857571428569,1.885714342857143,1.828571442857143
2001,9,1.557142885714286,1.5142857285714284,1.4142857142857144,1.585714342857143,1.5285714714285716,1.4285714285714286
2001,10,2.1000000285714284,2.0285714571428572,1.914285742857143,2.128571442857143,2.0571428857142857,1.88571432
2001,11,2.0285714857142856,1.9428571428571428,1.7857143000000002,2.0571428857142857,1.9714285857142857,1.8000000142857142
2001,12,2.7857142857142856,2.700000014285714,2.528571442857143,2.8285714285714287,2.757142857142857,2.557142928571429
2001,13,2.585714328571428,2.5000000285714283,2.400000014285714,2.628571442857143,2.542857157142857,2.3714286
2001,14,4.114285842857143,3.9857142857142853,3.8142857285714284,4.228571471428571,4.071428628571428,3.8428572
2001,15,2.8571428714285716,2.8142857285714284,2.685714285714286,2.8857143,2.8285714428571427,2.6142857142857143
2001,16,4.1,3.985714371428571,3.857142857142857,4.157142928571429,4.028571442857143,3.8000000999999997
2001,17,4.371428571428572,4.3,4.085714285714286,4.5285714285714285,4.371428571428572,4.128571528571428
2001,18,3.1142858,3.0857143285714286,2.928571485714286,3.1857143,3.085714314285714,2.8857143485714287
2001,19,5.185714328571429,5.100000042857142,4.9142859,5.328571428571428,5.200000085714286,4.971428657142857
2001,20,4.8714287,4.800000085714286,4.614285714285714,5.000000042857143,4.900000042857143,4.642857142857143
2001,21,5.214285714285714,5.1142857571428575,4.9857143285714285,5.271428671428572,5.1285715142857144,4.8999999999999995
2001,22,5.528571514285715,5.428571428571429,5.328571514285714,5.514285757142857,5.400000085714285,5.214285714285714
2001,23,5.8428571428571425,5.7571429428571435,5.628571557142857,5.9142858,5.771428614285715,5.5714287
2001,24,6.4857143285714285,6.3714287,6.128571428571428,6.642857142857143,6.500000042857144,6.185714328571429
2001,25,6.328571471428572,6.242857228571429,6.100000128571429,6.357142942857143,6.228571428571429,5.942857185714286
2001,26,6.600000042857142,6.485714285714286,6.2142858,6.728571514285714,6.6285715142857144,6.257142942857143
2001,27,6.828571428571428,6.685714371428572,6.4571429857142855,6.885714328571429,6.7571429,6.4142858
2001,28,5.4571429,5.328571471428572,5.157142942857143,5.514285800000001,5.400000042857143,5.171428657142856
2001,29,6.285714328571429,6.114285842857143,5.885714285714286,6.3999999999999995,6.2571429428571435,5.8999999999999995
2001,30,6.071428571428571,5.900000042857143,5.700000085714286,6.171428614285714,6.014285714285714,5.700000128571429
2001,31,6.185714285714285,6.014285800000001,5.742857142857143,6.314285757142857,6.128571471428572,5.785714285714286
2001,32,4.857142857142857,4.700000014285714,4.471428671428571,4.9142858,4.742857214285714,4.4285714714285715
2001,33,5.285714328571428,5.085714285714286,4.828571528571429,5.328571514285715,5.157142899999999,4.800000099999999
2001,34,5.328571514285714,5.142857228571429,4.900000042857143,5.3999999999999995,5.242857228571428,4.9285714714285715
2001,35,5.5571429000000006,5.4000001285714285,5.171428657142857,5.642857142857143,5.4857143285714285,5.142857142857143
2001,36,4.714285814285715,4.614285714285714,4.442857185714286,4.7571429,4.628571457142857,4.3571429
2001,37,4.457142871428571,4.357142871428572,4.2571429571428565,4.442857157142857,4.314285714285714,4.171428657142857
2001,38,4.100000042857142,4.014285757142857,3.9285714714285715,4.100000042857142,3.985714328571429,3.8285714714285715
2001,39,4.4000001285714285,4.285714285714286,4.128571428571429,4.4142858,4.257142857142857,4.0428571714285715
2001,40,3.3571429,3.3000000714285713,3.228571457142857,3.3000000285714286,3.2142857142857144,3.1
2001,41,2.8571429,2.8000000285714286,2.6714285857142857,2.900000014285714,2.8142857428571424,2.6571428571428575
2001,42,3.185714357142857,3.0857143,3.0142857142857147,3.171428614285714,3.0571428857142857,2.928571442857143
2001,43,2.9714286,2.9000000285714287,2.7428571857142856,3.042857142857143,2.942857157142857,2.7714286
2001,44,2.7714286,2.671428614285714,2.528571442857143,2.7571429000000003,2.671428642857143,2.5
2001,45,2.185714285714286,2.128571457142857,1.9714285857142857,2.2142857428571427,2.1857143,1.985714314285714
2001,46,1.9000000571428572,1.8571428857142855,1.7142857285714286,1.9571428714285715,1.8857143285714284,1.7428571428571427
2001,47,1.6714286142857142,1.5714286057142857,1.5,1.6571428628571427,1.5857142999999998,1.4428571542857143
2001,48,1.0571428857142857,1.0142857428571428,0.9571428571428572,1.042857142857143,1.0285714285714285,0.9142857142857144
2001,49,2.028571471428571,1.9571428999999998,1.7857142857142858,2.142857157142857,2.0857143,1.9000000142857143
2001,50,1.3428571714285715,1.2857143000000002,1.2000000142857143,1.3571428714285716,1.328571442857143,1.2285714285714284
2001,51,1.5142857142857142,1.4142857142857144,1.3285714628571428,1.5142857285714286,1.4714285857142857,1.3142857342857144
2001,52,1.1428571428571428,1.0714285971428572,1.0285714685714287,1.1000000257142857,1.0714285971428572,0.9428571571428571
